#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %     W+H (pb)    W-H (pb)
270.0    0.03191     +1.4    -1.4    +3.8    -3.8    0.02162     0.01030
272.0    0.03095     +1.4    -1.4    +3.8    -3.8    0.02098     0.009970
274.0    0.03002     +1.4    -1.4    +3.9    -3.9    0.02036     0.009653
276.0    0.02912     +1.4    -1.4    +3.9    -3.9    0.01976     0.009351
278.0    0.02826     +1.4    -1.4    +3.9    -3.9    0.01919     0.009060
280.0    0.02741     +1.4    -1.4    +3.9    -3.9    0.01863     0.008778
282.0    0.02661     +1.4    -1.4    +4.0    -4.0    0.01809     0.008510
284.0    0.02583     +1.4    -1.4    +4.0    -4.0    0.01758     0.008250
286.0    0.02508     +1.4    -1.4    +4.0    -4.0    0.01709     0.007998
288.0    0.02435     +1.4    -1.4    +4.0    -4.0    0.01660     0.007756
290.0    0.02366     +1.4    -1.4    +4.0    -4.0    0.01613     0.007525
292.0    0.02298     +1.5    -1.5    +4.1    -4.1    0.01568     0.007296
294.0    0.02232     +1.5    -1.5    +4.1    -4.1    0.01524     0.007078
296.0    0.02169     +1.5    -1.5    +4.1    -4.1    0.01482     0.006866
298.0    0.02107     +1.5    -1.5    +4.1    -4.1    0.01441     0.006663
300.0    0.02047     +1.5    -1.5    +4.1    -4.1    0.01401     0.006465
305.0    0.01909     +1.5    -1.5    +4.2    -4.2    0.01308     0.006007
310.0    0.01781     +1.5    -1.5    +4.3    -4.3    0.01222     0.005586
315.0    0.01661     +1.5    -1.5    +4.3    -4.3    0.01142     0.005192
320.0    0.01551     +1.6    -1.6    +4.4    -4.4    0.01068     0.004830
325.0    0.01447     +1.6    -1.6    +4.4    -4.4    0.009980    0.004494
330.0    0.01353     +1.6    -1.6    +4.5    -4.5    0.009340    0.004185
335.0    0.01263     +1.6    -1.6    +4.5    -4.5    0.008735    0.003896
340.0    0.01180     +1.6    -1.6    +4.6    -4.6    0.008174    0.003629
345.0    0.01100     +1.7    -1.7    +4.6    -4.6    0.007631    0.003372
350.0    0.01026     +1.7    -1.7    +4.6    -4.6    0.007127    0.003135
360.0    0.009127    +1.7    -1.7    +4.9    -4.9    0.006358    0.002771
370.0    0.008106    +1.8    -1.8    +5.0    -5.0    0.005660    0.002445
380.0    0.007225    +1.8    -1.8    +5.1    -5.1    0.005059    0.002166
390.0    0.006457    +1.8    -1.8    +5.2    -5.2    0.004533    0.001924
400.0    0.005783    +1.8    -1.8    +5.1    -5.1    0.004071    0.001713
